iter	RMSE
0	1160.045062
1	1159.60913
2	1158.720703
3	1158.060248
4	1157.337692
5	1156.133408
6	1155.555324
7	1154.792538
8	1153.685979
9	1152.634008
10	1152.062405
11	1150.798446
12	1150.069664
13	1149.061765
14	1148.249879
15	1147.716382
16	1147.068209
17	1146.029117
18	1145.145121
19	1144.22031
20	1143.715803
21	1142.977849
22	1141.864541
23	1141.174627
24	1140.354865
25	1139.155701
26	1138.075646
27	1136.988889
28	1135.857141
29	1134.944946
30	1133.726466
31	1132.652148
32	1131.538576
33	1130.865833
34	1129.907827
35	1128.822714
36	1128.179451
37	1127.506335
38	1126.640175
39	1125.508497
40	1124.489818
41	1123.376544
42	1122.313932
43	1121.582543
44	1120.932405
45	1119.710246
46	1118.957028
47	1118.355406
48	1117.849338
49	1117.259005
