iter	Passed	Remaining
0	157	7695
1	164	3952
2	171	2692
3	179	2064
4	186	1676
5	193	1422
6	198	1221
7	202	1065
8	208	950
9	211	847
10	214	761
11	217	688
12	219	625
13	222	571
14	224	523
15	226	481
16	228	443
17	230	409
18	232	378
19	233	350
20	235	325
21	237	302
22	239	280
23	240	260
24	242	242
25	243	225
26	245	209
27	247	194
28	248	180
29	250	167
30	252	154
31	253	142
32	255	131
33	257	120
34	258	110
35	260	101
36	262	92
37	263	83
38	265	74
39	266	66
40	268	58
41	270	51
42	271	44
43	273	37
44	275	30
45	276	24
46	278	17
47	280	11
48	281	5
49	283	0
